"id","name","address1","city","postcode","phone","org_type","cat_actions_against_police","cat_clinical_negligence","cat_community_care","cat_crime","cat_debt","cat_family","cat_family_mediation","cat_housing","cat_immigration_or_asylum","cat_mental_health","cat_prison_law","cat_public_law","cat_welfare_benefits"
"1","Barry, Webb and Naylor","44 Mitchell turnpike","Gibsonhaven","L9 1LP","(0116)4960303","mediation","0","1","1","1","1","0","0","0","0","1","1","1","1"
"2","Birch, Smith and Roberts","344 Gregory mountains","Walshberg","L2 0ZL","+441314960005","solicitor","1","1","0","0","0","0","1","1","0","1","1","0","1"
"3","Taylor-Murphy","17 Flynn lakes","Stevensontown","RG0 5UP","+44(0)1184960976","charity","1","1","1","1","1","0","1","1","1","0","0","1","1"
"4","Bradley-Walker","213 Morgan pines","Josephport","OL29 7BJ","01414960940","private","0","1","0","0","1","1","0","1","0","0","1","0","1"
"5","Ashton and Sons","1 Jones orchard","East Natashafurt","W1 8GS","+44(0)114 4960123","solicitor","1","0","0","1","1","1","1","0","1","0","0","0","1"
"6","Bond, Dodd and Pearce","80 Marian shore","Katemouth","G3 7AT","0306 999 0070","mediation","0","0","1","1","0","0","1","1","1","1","0","1","1"
"7","Moss-Brown","603 Deborah villages","East Reecechester","BS2 8GF","(020)74960068","mediation","0","1","0","1","0","1","0","1","0","0","0","0","1"
"8","Young, Parkes and Yates","8 Ward mews","Gregorystad","TW5 1UT","(0141) 4960032","private","0","1","0","0","1","1","0","1","0","1","1","1","0"
"9","Lamb and Sons","31 Karl hills","Port Margaretmouth","E9E 7BP","+44116 496 0194","charity","0","0","0","0","0","0","0","0","0","0","0","0","1"
"10","Burns, Fox and Clarke","6 Ronald inlet","Alexandraton","M9 2QY","01314960908","charity","0","1","0","1","0","0","1","0","1","1","1","0","0"
"11","Smith-Sykes","194 King divide","Katyton","B4 0PJ","(029) 2018 0302","private","1","1","1","0","1","0","1","1","1","1","0","1","1"
"12","Hamilton Group","73 Oliver path","Godfreyville","TR8 0AL","(0116) 496 0568","private","0","1","0","0","0","1","1","0","0","1","0","1","0"
"13","Bell, Murray and Pearson","0 Fitzgerald prairie","North Ricky","N20 4XX","+441632 960 998","private","1","0","1","0","0","0","0","1","0","1","1","0","1"
"14","Booth, Cole and Carter","271 Rita valley","Barberland","CH7Y 3ZL","+44(0)113 496 0846","private","0","1","0","0","1","1","1","0","1","0","0","0","0"
"15","Page-Kennedy","00 Smith trail","New Joan","JE4 4WJ","+44(0)29 2018 0657","charity","0","0","1","0","1","0","0","1","0","0","1","0","0"
"16","Fletcher-Ali","875 Laura pass","Payneburgh","IM6 1TS","08081570112","charity","0","0","1","1","1","1","0","0","0","1","1","1","1"
"17","Lewis, Patel and Matthews","602 Josh via","West Liam","WS5P 1QS","0161 4960104","mediation","1","1","0","1","0","0","0","0","0","0","1","0","1"
"18","Pearson Ltd","1 Lawrence centers","Jordanstad","TR5 8DQ","+44(0)289018827","private","1","0","1","1","1","0","0","1","0","1","1","1","0"
"19","Goodwin LLC","371 McDonald track","Port Zoe","CO06 4PU","+4429 2018 0797","solicitor","0","0","0","0","0","0","1","1","1","0","1","0","0"
"20","Newman, Robinson and Young","06 Marie plaza","Masonport","PH0X 8QF","+44116 496 0319","mediation","1","1","0","1","0","0","0","1","0","1","0","1","0"
"21","Walker-Howell","8 Gibson trail","Lake Mary","N3 9XX","08081570692","charity","1","0","1","1","0","1","1","1","1","1","0","1","1"
"22","Robinson LLC","56 Wright station","Port Paige","IV6 7ET","+44(0)1632 960 015","solicitor","1","1","1","0","0","1","0","1","1","1","0","0","1"
"23","Thomas, Lewis and Johnson","266 Reece pike","Patelbury","HD3A 3WU","0113 4960045","charity","1","0","0","1","1","1","0","0","0","0","1","1","1"
"24","Nicholson-Clark","10 Iain ville","East Lindsey","HA96 1EY","+44306 9990024","mediation","0","0","1","0","1","0","0","1","0","1","0","0","1"
"25","Woods-Taylor","0 Georgina manors","Williamsport","CO20 5TJ","+441134960821","charity","0","1","0","0","0","0","1","1","0","0","0","0","0"
"26","Finch, Turner and Turner","123 Kaur turnpike","Kayleighfort","SK2H 0BG","+44191 4960976","solicitor","0","1","1","0","1","0","1","1","1","1","0","1","1"
"27","Phillips, Shah and Dixon","356 Hazel circles","New Trevor","NN4 0LQ","+44(0)121 4960962","mediation","0","0","1","1","1","0","0","1","0","0","1","0","1"
"28","Ellis Group","17 Allan harbor","Wilkinsonfort","ZE10 5WU","+44(0)151 4960568","charity","0","0","1","1","1","0","1","0","0","1","0","1","0"
"29","Ball, Hurst and Lynch","661 Antony crescent","Graytown","SM3 2SG","0289018899","private","1","0","0","1","0","1","0","0","1","0","0","1","1"
"30","Long, Tomlinson and Roberts","768 Banks turnpike","East Melissamouth","W3 6BY","(0118) 496 0224","charity","0","0","0","0","1","0","0","1","0","1","0","1","0"
"31","Knowles, Khan and Reed","728 Wright fords","Lake Callum","L80 5SG","(0114) 4960665","mediation","1","1","1","0","1","0","1","0","0","1","0","1","0"
"32","Watson Group","523 Kim key","North Joanna","E2A 0AP","01914960636","charity","0","0","0","0","1","1","1","0","1","0","1","0","0"
"33","Brooks PLC","7 Conor curve","Robinsonport","W72 9EN","0151 4960271","solicitor","0","0","1","1","0","1","0","1","0","1","0","1","0"
"34","Middleton Group","3 Young forge","West Karlland","B30 4WP","(0117) 496 0433","solicitor","0","1","1","1","1","0","0","0","1","0","1","0","1"
"35","Lee-Oliver","72 Bernard turnpike","Griffinview","FK5N 7GW","(029)2018785","charity","1","0","1","0","1","1","0","1","1","1","1","1","1"
"36","Walters and Sons","4 Tina parkway","Juneshire","M90 6AR","+44118 4960045","charity","1","0","1","0","0","0","0","1","1","1","1","1","0"
"37","Wright, Thompson and May","19 Rebecca rest","East Glen","L6 7LB","+44(0)113 496 0829","mediation","1","1","1","1","1","0","1","1","0","1","1","1","1"
"38","Howells and Sons","0 Jacob ports","North Phillip","B1F 6ZW","+44115 496 0357","solicitor","0","1","0","1","0","0","0","1","1","1","0","0","1"
"39","Pope Inc","9 Hughes spurs","New Albertton","L6 7QS","0117 496 0627","charity","0","1","1","1","0","1","0","0","0","0","0","0","1"
"40","Johnson, Kelly and Begum","31 Dean burgs","Abdulburgh","NN4H 3FT","(0113) 4960624","solicitor","1","0","1","1","0","1","0","0","0","0","0","0","0"
"41","Hill, Warren and Allen","7 Carter inlet","Jonesfort","KY0M 6GA","+44(0)117 4960148","mediation","1","0","0","0","0","0","0","1","0","0","1","1","1"
"42","Owens-Craig","2 Stephen roads","New Sian","S8A 1NN","(0191) 496 0572","charity","1","0","1","1","1","0","1","0","0","1","0","1","1"
"43","Griffiths-Smith","7 Karl springs","Walkerbury","ST97 2JQ","+441144960090","charity","0","1","1","1","0","1","1","1","1","0","0","0","0"
"44","Thomas-Page","95 Graham gardens","New Francesca","HX5 7AS","+44(0)306 9990557","solicitor","1","1","0","0","0","0","0","0","0","0","0","1","1"
"45","Mason LLC","175 Thompson plaza","Lake Alexfurt","DY3B 0XE","+441632 960 014","mediation","1","1","1","0","1","1","0","0","0","1","1","1","1"
"46","Boyle-Collins","70 Cox vista","Priceside","S0C 8AE","+44118 4960408","private","1","1","1","0","0","1","1","0","1","0","0","1","1"
"47","Adams, King and Potter","535 Ruth springs","Lake Stanleyshire","SO24 5YR","01164960976","mediation","1","0","0","1","0","1","1","0","1","0","0","1","0"
